DeviationShort,2512000176,2512000177,2512000178,2521001661,2521001662,2521001663,2521001668,2521001669
ALL  EXCESS MATERIAL AND WORK SCRAP HAS BEEN REMOVED FROM WORK SITE?,0,0,0,0,1,0,1,0
ALL  MATERIALS  PLACED AS CALLED FOR BY APPROVED DESIGN AND APPROVED STC SPECIFICATIO,0,0,0,1,0,0,0,0
ALL CONDUITS HAVE BEEN SEALED PER STC STANDARDS BOTH INSIDE AND OUTSIDE OF THE MANHOL,0,0,0,0,0,1,0,0
ALL DUCTS HAVE BEEN INSPECTED AND ARE FREE OF DAMAGE AND DEFECTS AND INCLUDE PROPER L,0,0,0,0,1,0,0,0
ALL FIBERS ARE SPLICED IN CABINETS AND TERMINALS AS PER STC GUIDELINES?,0,0,0,0,0,0,1,0
ALL MATERIALS INSTALLED ARE FROM APPROVED SUPPLIER AND HAVE A VALID STC TYPE APPROVAL,0,1,0,0,0,0,0,0
ALL VACANT DUCTS HAVE A PULL STRING AND THE PROPER DUCT SEALANT HAS BEEN APPLIED?,0,0,0,0,0,1,1,1
ARE ALL TB / OSB / ODB HAVE BEEN PROPERLY INSTALLED?,0,0,0,0,0,1,1,1
"ARE ALL TERMINALS (TB, OSB, ODB), CABINETS LABELED WITH PROPER IDENTIFICATION AND INF",0,0,0,0,0,0,1,0
ARE THE CABLES ROUTED AND RACKED CORRECTLY IN EACH MANHOLE / HANDHOLE?,0,0,0,1,0,0,1,2
Are stc existing NW infrastructure drawings available on site and marked on the groun,0,0,1,0,0,0,0,0
BADGE ID NOT CORRESPONDING TO WORKER,1,0,0,0,0,0,0,0
"CONTRACTOR DETAILS AVAILBLE ON THE SIGNBOARD (NAME, PHONE NUMBER, … ETC)",0,2,0,0,0,0,0,0
CONTRACTOR MARKED THE TRENCH PATH AS PER THE DESIGN BEFORE START TRENCHING ?,0,0,1,0,0,0,0,0
CONTRACTOR’S SIGNBOARD COMPLIED WITH THE PROJECT AND CONTRACTOR NAME ?,0,2,0,0,0,0,0,0
DETECTABLE EMS PLACED AS PER STC SPECIFICATION?,0,0,0,0,0,0,0,1
DID THE CONTRACTOR FIX ANY DAMAGED UTILITIES WITHIN 24 HOURS?,0,0,1,0,0,0,0,0
HAS REINSTATEMENT BEEN COMPLETED WITHIN 120 HOURS OF TRENCH COMPLETION (CONCRETE PLAC,0,0,0,0,0,0,2,2
HAS THE CABLE BEEN PLACED AS PER DESIGN AND AS PER STC SPECIFICATIONS?,0,0,0,1,1,1,1,0
HAS THE CABLE DRUM BEEN PLACED VERTICALLY DURING PULLING?,0,0,0,1,0,0,1,0
HH/MH not as per STC requirements,0,0,0,0,1,0,3,5
IS THE TRENCH SEGMENT BACKFILLED WITH INSPECTOR APPROVAL?,0,0,0,0,0,1,0,1
Insufficient site signboards,1,4,2,0,0,0,0,3
"Is the H&S plan available, stamped and signed by contractor/ subcontractor?",0,1,0,0,0,0,0,0
MARKING TAPE PLACED AS PER STC SPECIFICATIONS (WARNING TAPE)?,0,0,0,0,0,0,1,2
Municipality permit not on signboard,0,2,0,0,0,5,0,1
Municipality permits not valid/renewed,1,0,1,2,1,2,1,3
No debris remaining on site,0,1,5,1,2,16,4,8
ONLY PROPER FIBER OPTIC TOOLS ARE USED DURING INSTALLATION?,0,0,0,1,0,0,0,0
Pedestrian passes not placed every 100m,1,3,5,0,0,5,0,4
Property damage not restored,1,2,7,1,2,0,0,2
"SIGNBOAD AS PER STC SPECIFICATION (DEMINSIONS, CLARITY, …ETC)?",1,5,0,1,0,0,0,0
STAND ALONE POWER SOURCE,0,2,1,0,0,1,0,0
STC safety measures not followed,2,5,3,1,0,5,4,13
THE ASPHALT / CONCRETE WAS PROVIDED BY STC APPROVED SUPPLIER?,0,0,0,1,0,0,0,0
"THE BACKFILL MATERIALS SAND, CONCRETE, SUB BASE MEET SPECS/STANDARDS?",0,0,0,1,1,0,2,1
THE CONDUITS ARE INSTALLED PER STC SPECIFICATIONS?,1,0,0,0,1,0,0,3
THE INSIDES OF THE INSTALLED MANHOLES / HANDHOLES ARE CLEAN AND ORANGANIZED (EXISTING,0,0,0,0,0,2,1,1
THE INSTALLED HAND HOLE / MANHOLE  INCLUDES ALL REQUIRED ACCESSORIES?,1,0,0,0,0,1,0,0
THE REINSTATEMENT HAS BEEN COMPLETED AND MEETS MUNICIPALITY CLOSING REQUIREMENTS?,0,0,0,0,0,0,1,0
THE SPACERS ARE INSTALLED AS REQUIRED PER STC SPECIFICATIONS?,0,0,0,0,1,1,0,3
THE TRENCH DEPTH IS AS PER DESIGN SPECIFICATIONS AND MEETS STC REQUIREMENTS?,0,0,0,0,3,0,1,3
THE TRENCH WIDTH IS AS PER DESIGN SPECIFICATIONS AND MEETS STC REQUIREMENTS?,0,0,1,0,0,1,0,1
Trench not closed within 24 hours,0,0,1,0,0,4,0,2
Trench route not straight,0,1,5,0,0,4,1,3
U-guards not meeting STC specs,0,0,6,1,1,4,2,1
Uncertified worker,7,0,5,0,2,11,0,0
Unregistered Subcontractor,0,1,0,0,0,0,0,0
Unregistered worker,1,3,21,0,0,0,0,1
WORK HAS BEEN CLEANED AND RETURNED TO ORIGINAL STATE ?,0,0,0,0,1,0,1,0
Worker PPE/uniform items missing,0,3,4,2,0,0,0,3
Worker missing STC ID badge,1,3,21,0,0,6,1,5
